Training History
Val_SSIM: 0.946981

Epoch 211:
G_Loss: 0.013863
D_Loss: 2.000000
Val_PSNR: 35.4267
Val_SSIM: 0.944882

Epoch 212:
G_Loss: 0.013932
D_Loss: 2.000000
Val_PSNR: 35.8301
Val_SSIM: 0.955987

Epoch 213:
G_Loss: 0.013848
D_Loss: 2.000000
Val_PSNR: 35.4008
Val_SSIM: 0.948164

Epoch 214:
G_Loss: 0.013965
D_Loss: 2.000000
Val_PSNR: 34.9769
Val_SSIM: 0.945266

Epoch 215:
G_Loss: 0.013992
D_Loss: 2.000000
Val_PSNR: 35.4845
Val_SSIM: 0.944455

Epoch 216:
G_Loss: 0.014031
D_Loss: 2.000000
Val_PSNR: 35.5183
Val_SSIM: 0.947069

Epoch 217:
G_Loss: 0.013949
D_Loss: 2.000000
Val_PSNR: 35.5788
Val_SSIM: 0.950587

Epoch 218:
G_Loss: 0.013890
D_Loss: 2.000000
Val_PSNR: 35.2634
Val_SSIM: 0.943303

Epoch 219:
G_Loss: 0.013840
D_Loss: 2.000000
Val_PSNR: 35.3234
Val_SSIM: 0.952306

Epoch 220:
G_Loss: 0.013640
D_Loss: 2.000000
Val_PSNR: 35.8379
Val_SSIM: 0.954834

Epoch 221:
G_Loss: 0.013553
D_Loss: 2.000000
Val_PSNR: 35.9082
Val_SSIM: 0.955356

Epoch 222:
G_Loss: 0.013541
D_Loss: 2.000000
Val_PSNR: 35.8835
Val_SSIM: 0.951828

Epoch 223:
G_Loss: 0.013486
D_Loss: 2.000000
Val_PSNR: 35.9217
Val_SSIM: 0.953941

Epoch 224:
G_Loss: 0.013455
D_Loss: 2.000000
Val_PSNR: 35.8729
Val_SSIM: 0.955929

Epoch 225:
G_Loss: 0.013535
D_Loss: 2.000000
Val_PSNR: 35.8241
Val_SSIM: 0.954005

Epoch 226:
G_Loss: 0.013468
D_Loss: 2.000000
Val_PSNR: 36.0308
Val_SSIM: 0.951781

Epoch 227:
G_Loss: 0.013443
D_Loss: 2.000000
Val_PSNR: 35.7981
Val_SSIM: 0.947716

Epoch 228:
G_Loss: 0.013466
D_Loss: 2.000000
Val_PSNR: 35.9109
Val_SSIM: 0.956238

Epoch 229:
G_Loss: 0.013471
D_Loss: 2.000000
Val_PSNR: 35.9694
Val_SSIM: 0.958376

Epoch 230:
G_Loss: 0.013403
D_Loss: 2.000000
Val_PSNR: 36.0118
Val_SSIM: 0.955908

Epoch 231:
G_Loss: 0.013418
D_Loss: 2.000000
Val_PSNR: 35.9796
Val_SSIM: 0.955365

Epoch 232:
G_Loss: 0.013417
D_Loss: 2.000000
Val_PSNR: 36.0302
Val_SSIM: 0.956129

